pack,train_default,train_opt,test_default,test_opt,test_cost_n_ep_opt,test_cost_freq_opt
all,,50.0,,,0.2_1,5_0.2
pack_PPO_Swimmer,100.0,50.0,5_10,None_None,0.2_1,50_0.05
pack_PPO_Hopper,100.0,5.0,5_20,None_None,0.2_2,5_0.2
pack_PPO_LunarLanderContinuous,100.0,500.0,5_10,5_2,0.2_1,50_0.2
pack_PPO_BipedalWalkerNorm,100.0,500.0,5_20,5_2,0.2_1,5_0.2
pack_PPO_BipedalWalker,100.0,50.0,5_5,5_1,0.2_1,5_0.1
pack_PPO_Walker2d,100.0,25.0,5_20,None_None,0.2_15,5_0.15
pack_PPO_Ant,100.0,5.0,5_5,None_None,0.2_15,5_0.15
pack_PPO_HalfCheetah,100.0,5.0,5_20,None_None,0.2_10,5_0.2

