pack_conf,p25_initialization,p25_learning,p25_stabilization
SB3_PPO_BipedalWalker_500,0.4614609051463825,0.7587308452779998,0.9490072494085504
SB3_PPO_BipedalWalker_250,0.4691153669888456,0.7750709010993118,0.9559078796762568
SB3_PPO_BipedalWalker_100,0.5451638059346338,0.7671476620744536,0.9682951486683496
SB3_PPO_BipedalWalker_50,0.6190150013922602,0.7658461037761051,0.9743631606379032
SB3_PPO_BipedalWalker_25,0.5650414987722864,0.7514920381246272,0.9423131657852244
SB3_PPO_BipedalWalker_5,0.4383687425640278,0.6813861647986131,0.9081437209966876
SB3_PPO_BipedalWalkerNorm_500,0.1346454271436772,0.8702080478992592,0.9249339691608368
SB3_PPO_BipedalWalkerNorm_250,0.1868552458665506,0.7446120698647872,0.9034378464957616
SB3_PPO_BipedalWalkerNorm_100,0.1952219807539636,0.7637674577357386,0.940711159017986
SB3_PPO_BipedalWalkerNorm_50,0.1645652615921707,0.813289304914059,0.9205592966793376
SB3_PPO_BipedalWalkerNorm_25,0.1702334417225246,0.8179790793613799,0.8891185260609481
SB3_PPO_BipedalWalkerNorm_5,0.1868552458665506,0.7731060560244467,0.8656950973177101
SB3_PPO_LunarLanderContinuous_500,0.9224623516530678,0.983344903915379,0.9856947262136768
SB3_PPO_LunarLanderContinuous_250,0.9224623516530678,0.9805030628599348,0.985711257095344
SB3_PPO_LunarLanderContinuous_100,0.9188866329929256,0.9779591622230016,0.9815744630548822
SB3_PPO_LunarLanderContinuous_50,0.9188866329929256,0.9753259117752806,0.9843366124055932
SB3_PPO_LunarLanderContinuous_25,0.9059406886075048,0.9734054285324888,0.983058912313039
SB3_PPO_LunarLanderContinuous_5,0.8409192263984032,0.9617931103848988,0.9781916001368884
SB3_PPO_Swimmer_500,0.9324918150046638,0.939947603352642,0.9225486594047678
SB3_PPO_Swimmer_250,0.9324918150046638,0.9415944651852736,0.9215936143402568
SB3_PPO_Swimmer_100,0.9324918150046638,0.9433133426886234,0.9209010810649044
SB3_PPO_Swimmer_50,0.9315242786576384,0.9450027582677436,0.9375523432464462
SB3_PPO_Swimmer_25,0.9314819561606402,0.937884705842486,0.9274019880198928
SB3_PPO_Swimmer_5,0.9146040240471152,0.9421285566434076,0.9420050110078226
SB3_PPO_Ant_500,0.0392261803693914,0.7654536753005575,0.6935225408537474
SB3_PPO_Ant_250,0.0388496373287226,0.763645412993754,0.7558456884145726
SB3_PPO_Ant_100,0.0382890586953688,0.7769580963355884,0.7649569915199556
SB3_PPO_Ant_50,0.0385768804418723,0.7911159672568165,0.8444006924234899
SB3_PPO_Ant_25,0.0398656674448159,0.8036930490081249,0.8444006924234899
SB3_PPO_Ant_5,0.041150406167963,0.8197976514457644,0.8617881457595059
SB3_PPO_Walker2d_500,0.7834782473832607,0.5220889581383591,0.6034628146106463
SB3_PPO_Walker2d_250,0.7771413499214591,0.4966645398499837,0.5732438353580743
SB3_PPO_Walker2d_100,0.7867439397968577,0.5132254487047764,0.5605610409167314
SB3_PPO_Walker2d_50,0.779804921634311,0.5580485781259481,0.6082675902584405
SB3_PPO_Walker2d_25,0.7722766259034322,0.5429843009174901,0.6680205757010071
SB3_PPO_Walker2d_5,0.7697681331507445,0.5302239258431137,0.6059427726709286
SB3_PPO_HalfCheetah_500,0.5937687330701822,0.7225003818268757,0.7190744146720147
SB3_PPO_HalfCheetah_250,0.5471855313296536,0.7163237072749218,0.786360354771734
SB3_PPO_HalfCheetah_100,0.5937687330701822,0.7389000698777131,0.7664033610374856
SB3_PPO_HalfCheetah_50,0.5671354399868815,0.7683979165222667,0.7892692156483568
SB3_PPO_HalfCheetah_25,0.5465612916905221,0.8178782311471291,0.8316088660851713
SB3_PPO_HalfCheetah_5,0.5928818028192069,0.8541178983044779,0.8606054502364765
SB3_PPO_Hopper_500,0.5448866200133173,0.8981905359732673,0.9039466809067996
SB3_PPO_Hopper_250,0.5214332693653172,0.8799285500774935,0.9354254262384232
SB3_PPO_Hopper_100,0.5178987073649961,0.906681918729466,0.9440682728460342
SB3_PPO_Hopper_50,0.5035674910403627,0.9269078048950088,0.9480530867235964
SB3_PPO_Hopper_25,0.4782623645989743,0.9219712569306484,0.9502671132242404
SB3_PPO_Hopper_5,0.5675137286787326,0.9452646516444296,0.950303829638318
SB3_PPO_Pendulum_500,1.0,0.9923652645484295,0.991677324927167
SB3_PPO_Pendulum_250,1.0,0.9926357665515554,0.9913307866778074
SB3_PPO_Pendulum_100,1.0,0.9921330921688334,0.9933415887575855
SB3_PPO_Pendulum_50,1.0,0.9922644562926428,0.9939949941070108
SB3_PPO_Pendulum_25,1.0,0.9939416398690518,0.9932811832961044
SB3_PPO_Pendulum_5,1.0,0.9929883847716374,0.9931086194921224
