process_id,train_n_ep,test_n_ep,test_freq
PPO_Ant_seed1,100,5,1
PPO_Ant_seed2,50,5,1
PPO_Ant_seed3,250,5,1
PPO_Ant_seed4,250,5,5
PPO_Humanoid_seed1,100,50,1
PPO_Humanoid_seed2,25,100,1
PPO_Humanoid_seed3,50,25,1
PPO_Humanoid_seed4,25,250,1
PPO_HumanoidStandup_seed1,500,5,1
PPO_Ant_seed5,500,25,5
PPO_Ant_seed6,250,5,1
PPO_Ant_seed7,250,5,1
PPO_Ant_seed8,50,5,1
PPO_Ant_seed9,50,25,5
PPO_Ant_seed10,50,5,1
PPO_Humanoid_seed5,25,500,1
PPO_Humanoid_seed6,250,25,5
PPO_Humanoid_seed7,500,100,1
PPO_Humanoid_seed8,5,100,5
PPO_Humanoid_seed9,250,25,1
PPO_Humanoid_seed10,500,100,1
PPO_HumanoidStandup_seed2,100,25,1
PPO_HumanoidStandup_seed3,25,500,1
PPO_HumanoidStandup_seed4,25,250,1
PPO_HumanoidStandup_seed5,500,25,5
PPO_HumanoidStandup_seed6,25,500,1
PPO_HumanoidStandup_seed7,500,5,1
PPO_HumanoidStandup_seed8,5,25,1
PPO_HumanoidStandup_seed9,500,5,1
PPO_HumanoidStandup_seed10,500,500,1
PPO_HalfCheetah_seed1,500,5,1
PPO_HalfCheetah_seed2,250,5,1
PPO_HalfCheetah_seed3,500,5,1
PPO_HalfCheetah_seed4,500,5,1
PPO_HalfCheetah_seed5,500,5,1
PPO_HalfCheetah_seed6,25,5,1
PPO_HalfCheetah_seed7,100,5,1
PPO_HalfCheetah_seed8,500,5,1
PPO_HalfCheetah_seed9,500,5,1
PPO_HalfCheetah_seed10,500,5,1
PPO_Walker2d_seed1,50,25,5
PPO_Walker2d_seed2,500,25,1
PPO_Walker2d_seed3,500,5,1
PPO_Walker2d_seed4,100,5,1
PPO_Walker2d_seed5,500,5,5
PPO_Walker2d_seed6,50,25,5
PPO_Walker2d_seed7,100,5,1
PPO_Walker2d_seed8,250,5,5
PPO_Walker2d_seed9,5,5,1
PPO_Walker2d_seed10,100,25,5
